year,date,parents 1,parents 2,child,sponsors 1,sponsors 2,sponsors 3,sponsors 4,sponsors 5,parent last,sponsors 1 first,sponsors 1 middle,sponsors 1 last,sponsors 2 middle,sponsors 2 last,sponsors 2 first,sponsors 3 middle,sponsors 3 last,sponsors 3 first
1711,Jun 3,Johan Bernhard Luckhard,Justina Luckhard,Johann Wilhelm bap in upper Colonies,Johan Wilhelm Stuckenrad,,,,,Luckhard,Johan,Wilhelm,Stuckenrad,,,,,,
1711,Jun 10,Wilhelm Jorg,Maria Jorg,Johann Niclaus bap in upper Colonies,Niclaus Haas,Margaretha Weishard,Jacob Dings,,,Jorg,Niclaus,,Hess,,Weishard,Margaretha,,Dings,Jacob
1711,Jun 10,Simon Hess,Rosina Haas,Anna Barbara bap in upper Colonies,Anna Barbara Schumacher,,,,,Haas,Anna,Barbara,Schumacher,,,,,,
1711,Jun 10,Johan Gans,Gerdraut Gans,Anna; Catharina bap in upper Colonies,Georg Adam Schmid,Anna Catharina Pulfer,Catharina Fulz,,,Gans,Georg,Adam,Schmid,Catharina,Pulfer,Anna,,Fulz,Catharina
1711,Jun 22,Frantz Giller,Barbara Giller,Joseph b. Jun 21 bap in upper Colonies,Joseph Reichard,Anna Maria Reichard,,,,Giller,Joseph,,Reichard,Maria,Reichard,Anna,,,
1711,Jun 24,Mattheus Cuntz,Anna Margretha Cuntz,Johan David bap in upper Colonies,Johan Beranhard,Johan David Ifland,Anna Barbara Schumacher,,,Cuntz,Johan,,Beranhard,David,Ifland,Johan,Barbara,Schumacher,Anna
1711,Jul 8,Gabriel Hoffman,Susanna Hoffman,Joseph bap in upper Colonies,Joseph Reichard,Anna Maria Reichard,,,,Hoffman,Joseph,,Reichard,Maria,Reichard,Anna,,,
1711,Jul 8,Henrich Reiter,Anna Juliana Reuter,Johanna;; Elisabetha bap in upper Colonies,Johan Hess,Johanna Elisabeth Werner,,,,Reuter,Johan,,Hess,Elisabeth,Werner,Johanna,,,
1711,Jul 21,Johann Dietrich Castelmann,Anna Castelmann,Wilhelm b. Jul 19 bap in upper Colonies,Philip Muller,,,,,Castelmann,Philip,,Muller,,,,,,
1711,Jul 22,Johan Henrich Leich,Elisabetha Leich,Philipp Peter b. Jul 15 bap in upper Colonies,Philip Peter Grauberger,,,,,Leich,Philip,Peter,Grauberger,,,,,,
1711,Jul 22,Niclaus Korner,Anna Magdalena Korner,Johann Adam b. Jul 21 bap in upper Colonies,Johan Franck Adam Hertel,,,,,Korner,Johan,Franck Adam,Hertel,,,,,,
1711,Jul 24,Johan Henrich Mann,Maria Elisabetha Mann,Johann Peter b. Jul 23 bap in upper Colonies,Johan Peter Maurer,wife of Peter Wagner,Peter Wagner,,,Mann,Johan,Peter,Maurer,of Peter,Wagner,wife,,Wagner,Peter
1711,Aug 1,Michael Storr,Elisabetha Ottilia Storr,Anna Kunigunda b. Jul 31 bap in upper Colonies,Anna Kunigunda Wanenmacher,Dieter Wanenmacher,,,,Storr,Anna,Kunigunda,Wanenmacher,,Wanenmacher,Dieter,,,
1711,Aug 5,Johan Valentin Falckenburger,Elisabetha Maria Falckenburger,Anna; Gerdrauth b. Aug 1 bap in upper Colonies,Jacob Mauck,Gerdraut Kohl,Anna Margretha Hertel,,,Falckenburger,Jacob,,Mauck,,Kohl,Gerdraut,Margretha,Herdel,Anna
1711,Aug 8,Christoph Werner,Magdalena Werner,Appolonia b. Aug 6 bap in upper Colonies,Apollonia Frohlich,Hans Valentin Frohlich,,,,Werner,Apollonia,,Frohlich,Valentin,Frohlich,Hans,,,
1711,Aug 9,Peter Voshel,Maria Voshel,Anna; Catharina b. Aug 3 bap in upper Colonies,Anna Wooden,Johan Wooden,,,,Voshel,Anna,,Wooden,,Wooden,Johan,,,
1711,Aug 9,Niclaus Staring Zigler,Maria Catharina Zigler,Anna; Margretha b. Aug 7 bap in upper Colonies,Philip Petri,Anna Margretha Petri,Anna Elisabetha Petri,,,Zigler,Philip,,Petri,Margretha,Petri,Anna,Elisabetha,Petri,Anna
1711,Aug 10,Christian Meyer,Anna Gerdraut Meyer,Maria;; Elisabetha b. Aug 8 bap in upper Colonies,Maria Christina Oberbach,Johan Peter Oberbach,Elisabetha Oberbach,Peter Oberbach,Johann Georg Oberbach,Meyer,Maria,Christina,Oberbach,Peter,Oberbach,Johan,,Oberbach,Elisabetha
1711,Aug 19,Johan Emerich,Anna Margretha Emerich,Johanna; Catharina b. Aug 17 bap in upper Colonies,Johan Hess,Catharina Curring,,,,Emerich,Johan,,Hess,,Curring,Catharina,,,
1711,Aug 22,Bernhard Listanius,Anna Maria Listanius,Christianus b. Aug 20 bap in upper Colonies,Christian Aigler,,,,,Listanius,Christian,,Aigler,,,,,,
1711,Aug 26,Philip Klumm,Veronica Klumm,Johann Georg b. Aug 23 bap in upper Colonies,Johan Georg Schultheiss,Anna Maria Proter,,,,Klumm,Johan,Georg,Schultheiss,Maria,Proter,Anna,,,
1711,Aug 26,Johan Georg Schmid,Anna Elisabetha Schmid,Jorg Ludwig b. Aug 27 bap in upper Colonies,Georg Ludwig Koch,Anna Maria Koch,,,,Schmid,Georg,Ludwig,Koch,Maria,Koch,Anna,,,
1711,Aug 30,Peter Wickhaus,Elisabetha Maria Wickhaus,Maria; Magdalena b Aug 28 bap in upper Colonies,Maria Stein,Magdalena Jung,,,,Wickhaus,Maria,,Stein,,Jung,Magdalena,,,
1711,Sep 3,Jacob Hoffman,Maria Elisabetha Hoffman,Mattheus b. Aug 22 bap in upper Colonies,Mattheus Cuntz,,,,,Hoffman,Mattheus,,Cuntz,,,,,,
1711,Sep 3,Johan Henrich Widerwachs,Anna Cecillia Widerwachs,Johann Georg b. Aug 27 bap in upper Colonies,Eva Schurtz,Johan Niclaus Wolleban,Johan Georg Zufeld,,,Widerwachs,Eva,,Schurtz,Niclaus,Wolleban,Johan,Georg,Zufeld,Johan
1711,Sep 8,Abraham Laugs,Anna Catharina Lauck,Maria; Catharina b. Sep 7 bap in upper Colonies,Johan Georg Stump,Maria Catharine Schafer,Maria Catharina Laugs,Nicholas Schafer,Abraham Laugs,Lauck,Johan,Georg,Stump,Catharine,Schafer,Maria,Catharina,Laugs,Maria
1711,Sep 10,Johan Peter Oberbach,Maria Christina Oberbach,Johann Peter b. Sep 6 bap in upper Colonies,Peter Oberbach,Johan Mattheus Jung,Anna Demuth Thomas,,,Oberbach,Peter,,Oberbach,Mattheus,Jung,Johan,Demuth,Thomas,Anna
1711,Sep 14,Conrad Hostman,Eva Margretha Hostman,Johann Peter b. Sep 11 bap in upper Colonies,Johan Peter Glopp,,,,,Hostman,Johan,Peter,Glopp,,,,,,
1711,Nov 1,Henrich Bois,Wilhelmina Bois,Pieter b. May 14 bap in Pagepsen,Peter von Klack,,,,,Bois,Peter,von,Klack,,,,,,
