year,source,target
1776,Hendrick Vrooman,Margaret Van De Werken
1776,Gilbert Van Duisen,Neeltie Van Antwerp
1776,Symon Veeder,Margaret Terwilleger
1776,Cobus Cosaat,Elizabeth Sedam
1776,Mark Marlet,Sophia Fonteyn
1776,Hendrick Ryker,Christina Baromore
1776,Alexander Ferguson,Anna Phares
1776,Abraham Veeder,Annatie Fonda
1776,Frederick Starn,Elizabeth France
1776,Jonathan Frans,Maria Fitchet
1776,Frederick Fisher,Gesina DeGraaf
1776,Frederick Fisher,Gesina DeGraaf
1776,Hendrick Ploegh,Neeltie Wieler
1776,Roelf Johnson,Elizabeth Lewis
1776,Anthony Van Veghten,Maria Fonda
1776,Nicholas Dachsteder,Catharina Van De Werken
1776,Jack a Negro 1,Jin a Negro 1
1776,Thomas McClumpher,Gennitsing McClumpher
1776,Jacob Dingman,Maria Krankheyt
1776,Samuel Weeker,Elionera Barry
1776,Peter McMartin,Christina McMartin
1776,William Van De Werken,Margaret Van Slyk
1776,Adam Ekker,Margaret Cagnot
1776,Thomas Lepper,Elizabeth Barlet
1776,Richard Hoff,Elizabeth Powelson
1776,Isaac Collier,Rachel Quackenbush
1776,Samuel Cownhover,Nancy Pattin
1776,Nicholas McDonnel,Maria Aalen
1776,David Lewis,Maria Philipse
1776,Cornelius Van Aalstyn,Annatie Quack
1776,Johannes Newkerk,Rachel Knute
1775,William Mombrute,Maria Freest
1776,Harmanus Smith,Maria Wemp
1776,Jury Miller,Catharina Heever
1776,Johannes Frank,Catharina Muts
1776,Amos France,Hannah Fitchet
1776,Martinus Van Slyk,Maria Starn
1776,Jack a Negro 3,Beth a Negro
1776,Claus a Negro,Floor a Negro
1776,Johannes Smith,Anna Picking
1776,Cesar a Negro,Candins a Negro
1776,Fanno a Negro,Jin a Negro 2
1776,Roelf Van De Werken,Cornelia Van Aalstyn
1776,Hendrick V. D. Werken,Sarah Van Aalen
1776,David Bogardus,Maria Harrison
1776,Philip Schafer,Elizabeth Anstes
1776,Gerrit Van Brakelen,Anna Kitts
1776,Johannes Barlet,Maria Gardinier
1776,Adam Frank,Catharina Meyr
1776,Jacob Gardinier,Derkje Gardinier
1776,Hendrick Yany,Elizabeth Kleyn
1776,Volkert Philipse,Polly McDonnel
1776,Frederick Lewis,Rachel Hover
1776,Gideon Melat,Maria Quack
1776,Jacob Fishback,Polly Vrooman
1760,Ephraim Wemp,Douw Fonda
1760,Ephraim Wemp,Arent Brouwer
1760,Mathias Link,Jacob Pikel
1760,Philip Helmer,Jacob Herris
1760,Hendrick Vrooman,Petrus Van Dreysen
1761,Johannes Veeder,Johannes Leenderson
1761,Johannes Leenderson,Thimothius Leenderson
1761,William Snoch,Johannes Kleyn
1761,Cornelius Potman,Frans F. Pruyn
1761,Johannes an Indian,Cornelius an Indian
1761,Charles a Negro,Ephraim Wemp
1761,Johan Dederk Meyer,Johannes Van Eps
1761,William Olin,Isaac Collier
1761,Johannes Clement,John Hain
1761,John Schot Quackenbush,Melchert Van Duisen
1761,Jacob Hall,Jacob Snoch
1761,Philip Frederick,William Jong
1761,Joseph Cain,Douw Fonda
1762,Hendrick Wemp,Carel H. Van Eps
1762,Johannes Miller,Philip Stouwiths
