congregation,denomination,betweenness,bridge,degree,end,gender,id,modularity,name,race,start
flatlands-drc,dutch reformed,0.129928009851284,female_bridge,6,1799,female,257,9,Maria Johnson,white,1764
flatlands-drc,dutch reformed,0,false,2,1783,female,262,12,Margriet Elderse,white,1761
flatlands-drc,dutch reformed,0.067637956890945,false,6,1788,male,263,6,Jacob Van Deventer,white,1761
flatlands-drc,dutch reformed,0.031613087209486,male_bridge,7,1802,male,264,4,Dirk Remsen,white,1761
flatlands-drc,dutch reformed,0.027645164345932,false,8,1802,female,265,7,Sara Ouke,white,1761
flatlands-drc,dutch reformed,0.166685611442645,male_bridge,4,1802,male,266,8,Cornelius Stryker,white,1761
flatlands-drc,dutch reformed,0,false,3,1781,female,269,2,Abigail Leffersen,white,1761
flatlands-drc,dutch reformed,0,false,3,1781,female,270,4,Syntie Lott,white,1761
flatlands-drc,dutch reformed,0,false,3,1781,female,271,8,Maria Gerritse,white,1761
flatlands-drc,dutch reformed,0.020590992982029,false,8,1802,male,272,0,Johannes Stoothof,white,1762
flatlands-drc,dutch reformed,0.020590992982029,false,8,1802,female,273,0,Catharina Bogert,white,1762
flatlands-drc,dutch reformed,0,false,1,1782,female,277,17,Sara Van Kerk,white,1762
flatlands-drc,dutch reformed,0,false,1,1782,female,280,14,Christina Ryerse,white,1762
flatlands-drc,dutch reformed,0.002946635053768,false,6,1784,male,281,0,Cornelius Voorhees,white,1762
flatlands-drc,dutch reformed,0,false,3,1782,female,284,15,Jannitie Bloom,white,1762
flatlands-drc,dutch reformed,0,false,3,1782,male,286,0,Douen Ditmarse,white,1762
flatlands-drc,dutch reformed,0.003056820479883,false,6,1785,female,288,1,Jannitie Schenck,white,1762
flatlands-drc,dutch reformed,0,false,3,1782,female,289,0,Catharina Snedeker,white,1762
flatlands-drc,dutch reformed,0,false,3,1782,female,290,15,Maria Bloom,white,1762
flatlands-drc,dutch reformed,0,false,3,1785,male,291,15,Petrus Leuyster,white,1765
flatlands-drc,dutch reformed,0,false,3,1785,female,292,15,Neeltie Wyckoff,white,1765
flatlands-drc,dutch reformed,0,false,3,1783,male,293,11,Karel Boerum,white,1763
flatlands-drc,dutch reformed,0.104282716670659,female_bridge,9,1802,female,294,11,Maria Lott,white,1763
flatlands-drc,dutch reformed,0,false,2,1783,male,295,14,Bernardus Voorhees,white,1763
flatlands-drc,dutch reformed,0,false,2,1783,female,296,14,Emmetie Latten,white,1763
flatlands-drc,dutch reformed,0.031945628492943,false,9,1802,male,297,7,Roelof Van Houten,white,1763
flatlands-drc,dutch reformed,0.012986643932936,female_bridge,4,1802,female,298,11,Hendrika Remsen,white,1763
flatlands-drc,dutch reformed,0,false,1,1783,female,299,14,Maria Durie,white,1763
flatlands-drc,dutch reformed,0.039864017556676,male_bridge,11,1802,male,300,4,Jeromus Lott,white,1763
flatlands-drc,dutch reformed,0.018314334881674,false,8,1802,male,301,4,Lammetie Rapelje,white,1763
flatlands-drc,dutch reformed,0.011360454255536,false,7,1802,male,302,11,Peter Lott,white,1763
flatlands-drc,dutch reformed,0,false,3,1790,female,303,16,Magdalena Van Nuys,white,1770
flatlands-drc,dutch reformed,0,false,3,1783,female,304,11,Catharina Boerum,white,1763
flatlands-drc,dutch reformed,0,false,3,1783,female,305,7,Helena Ouke,white,1763
flatlands-drc,dutch reformed,0.009770240915585,false,4,1787,female,306,4,Catharina Lott,white,1763
flatlands-drc,dutch reformed,0.154525910267635,false,16,1802,female,307,0,Hilletie Voorhees,white,1764
