,canonical,original
2859,Wife Of David Jones,wife of David Jones
2865,Wife Of Freder: Fritz Jr,"wife of Freder: Fritz, Jr"
2866,Wife Of Abrm Lungen,wife of Abrm Lungen
2870,Wife Of Leonhd Hepp Sr,wife of Leonhd Hepp Sr
2871,Wife Of John Haupt,wife of John Haupt
2875,Wife Of Honnes Hildebrand,wife of Honnes Hildebrand
2880,Wife Of Godfr Rynhard,wife of Godfr Rynhard
2881,Wife Of Hermann Roelofson,wife of Hermann Roelofson
2884,Wife Of William Elick,wife of Willm Elick
2886,Wife Of Jac Graaf,wife of Jac Graefy
2891,Rosina  Hart,Rosina Hart
2892,Wife Of Andreas Miller,wife of Andreas Miller
2894,Wife Of Georg Felvert,wife of Georg Felvert
2895,Catharina  Felvert,Cath Felvert
2908,Catharina  Schenkel,Cathar Schenkel
2910,Wife Of William Young,wife of Willm Young
2912,Wife Of I Benghard,wife of I Benghard
2913,Christina  Vogt,Christina Vogt
2914,Wife Of Cunrad Schwachheimer,wife of Cunrad Schwachhamer
2918,Wife Of George Hartman,wife of George Hartman
2919,Wife Of Frederick Fritz Jr,wife of Frederik  Fritz Jr
2922,Wife Of Jacob Klein Sr,"wife of Jacob Klein Sr,"
2930,Wife Of Peter Moelich,wife of Peter Melich
2933,Wife Of Major Rynhard,wife of Major Rynhard
2951,Wife Of Frederik Lavering,wife of Frederik Lavering
2958,Elizabeth  Roelofson,Elisabeth Roelofson
2965,Wife Of Frederik Fritz,wife of Friederick Fritz
2968,Wife Of William Frif,wife of Wilhm Frif
2969,Wife Of Frederick Fritz Sr,"wife of Frederik Fritz Sr,"
2972,Wife Of Joh: Mart: Holtzhouse,wife of Joh: Mart: Holtzhouse
2981,Wife Of Wm Heiler,wife of Wm Heiler
2982,Wife Of Christ Lutz,wife of Christ Lutz
2987,Wife Of Frieder: Fritz,wife of Frieder: Fritz
2993,Wife Of Georg Maria,wife of Georg Mohr
2995,Wife Of Frederik Martinj,wife of Frederik Martinj
2997,Wife Of Martin Martini,wife of Martin Martini
3000,Wife Of Christ: Martinj,wife of Christ: Martinj
3015,Wife Of Herm Muhlhenn,wife of Herm Muhlhenn
3016,Elizabeth  Eny,Elisabeth Eny
3019,Wife Of Andr Hensler Jr,wife of Andr Hensler Jr
3021,Wife Of Henry Maria,wife of Henry Myer
3028,Maria  Hamm,Mary Hamm
3029,Wife Of Velton Christian,wife of Velton Christian
3030,Wife Of Nicol Jungvleesch,wife of Nicol Jungvleesch
3032,Maria  Miller,Mary Miller
3035,Wife Of Balthr Pikel,wife of Balthr Pikel
3036,Elisth  Moelich,Elisth Moelich
3037,Wife Of Daniel Schaefer,wife of Danl Schaefer
3038,Wife Of Jonas Moelik,wife of Jonas Moelik
3039,Wife Of Godfr Rynhard,wife of Gotfr Reinhard
3041,Wife Of John Schwalb,wife of John Schwalb
3050,Catharina  Croeter,Catharine Croeter
3052,Wife Of Martin Bonn,wife of Martin Bunn
3056,Agnes  Bareith,Agnes Bareith
3065,Wife Of Andrew Miller,wife of Andrew Miller
3068,Peggy  Daub,Peggy Daub
3070,Wife Of Matthias Myers,wife of Mattheus Myers
3073,Wife Of Jacob Klein Sr,wife of Jacob Klein Sr
3074,Wife Of Jacob Neff Sr,wife of Jacob Neff Sr
3076,Susanna  Rynhard,Susanna Reinhardt
3077,Wife Of Phil Miller,wife of Phil Miller
3088,Wife Of Balth Pikel Sr,wife of Balth Pikel Sr
3093,Wife Of Pet: Apkir,wife of Pet: Apkir
3096,Anna  Neff,Anna Neff
3099,Wife Of Wm Elick,wife of Wm Elick
3101,Wife Of Jacob Zavering,wife of Jacob Zavering
3104,Wife Of Johannes Schmidt,wife of Johannes Schmidt
3120,Wife Of Philip Heiler,wife of Philip Heiler
3121,Wife Of John Tippel,wife of John Tippel
3126,Wife Of Balth: Pikel,wife of Balth: Pikel
3127,Wife Of Friederich Bartelszen,wife of Friederich Bartels
3128,Wife Of I Appelman,wife of H Appelman
3133,Wife Of Frederik Schenkel,wife of Frederik Schenkel
3136,Wife Of Leonhard Hipp,wife of Leonhard Hipp
3137,Wife Of Balth: Pikel,wife of Balth: Pickle
3138,Wife Of Herman Roelofs Sr,wife of Herman Roelofs Sr
3141,Elizabeth  Strubel,Elisabeth Strubel
3142,Margretha  Rish,Margretha Rish
3145,Wife Of Hermanus Roelofson,wife of Hermanus Roelofson
3153,Wife Of John Roeus,wife of John Roeus
3156,Wife Of George Mohr Sr,"wife of George Mohr, Sr"
3157,Wife Of John Saeger,wife of John Saeger
3158,Wife Of Jacob Lunger,wife of Jacob Lunger
3162,Wife Of Nicol Schmidt,wife of Nicol Smidt
3163,Wife Of Peter Sasseman,wife of Peter Sasseman
3164,Wife Of Wm Partj,wife of Wm Partj
3165,Wife Of Ad Rynhard,wife of Ad Rynhard
3172,Wife Of Moritz Croeter,wife of Moritz Creter
3174,Wife Of Martin Bonn,wife of Martin Bonn
3175,Wife Of William Petry,wife of Willm Petry
3176,Wife Of John Croeter,wife of John Croeter
3192,Wife Of Honnes Hildebrand,wife of Hannes ildebrand
3193,Wife Of Honnes Schurts Sr,wife of Honnes Schurts Sr
3196,Rahel  Beker,Rahel Beker
3205,Ursula  Appelman,Ursula Appelmann
3206,Wife Of Godfr Reinhard Esq,wife of Godfr Reinhard Esq
3207,Wife Of David Kraetsihlj,wife of David Kraetsihlj
3212,Anna Mohr Neff,Anna Maria Neff
3213,Wife Of Freder Bartelszen,wife of Freder Bartels
3216,Wife Of Henry Miller,wife of Henry Miller
3219,Parents,Parents
3221,Wife Of Christian Martinj,wife of Christian Martinj
3227,Wife Of Griffit Thomase,wife of Griffit Thomas
3247,Wife Of Honnes Shurts,wife of Honnes Shurts
3255,Wife Of Samuel Schwachheimer,wife of Samuel Schwachamer
3257,Wife Of George Maria,wife of George Moor
3289,Wife Of Aaron Roelofson,wife of Herne: Roelofson
3307,Wife Of Phil Heiler,wife of Phil Hiler
3312,Wife Of Frederik Bartelszen,wife of Frederic Bartels
3314,Wife Of Peter Van Buskirk,wife of Peter van Buskerk
3319,Wife Of Abram Van Horne,wife of Abram Van Horn
3323,Wife Of Johs Hildebrand,wife of Johs Hildebrand
3331,Wife Of Christian Ort,wife of Christian Ort
3335,Wife Of Geo Benghard,wife of Geo Benghard
3336,Wife Of And Miller,wife of And Miller
3338,Wife Of Andrw Bartelszen,wife of Andrw Bartels
3343,Wife Of Henry Hoffman,wife of Henry Hoffman
3346,Wife Of Henry Pikel,wife of Henry Pickel
3430,Johannes Jr Schuh,Hannes Jr Schuh
3493,Christian  Kohl,Christian Cole
3571,G  Gaerj,G Garj
3647,Frederick  Muhlenberg,Frederick Muhlenberg
4408,Wife Of G Gaerj,wife of G Garj
